condition_index,dataset_index,lineage_count,log_volume,replica,sampling_protocol,target_function_mass,target_name,threshold,train_hard_exact_mass,unseen_agreement,unseen_target_accuracy
7,3,643,-2.004821856419027,2,uniform_random,0.0,mux3,0.68,0.0,0.8025168012163381,0.5245404924665179
7,3,638,-2.030092748239394,3,uniform_random,0.0,mux3,0.68,0.0,0.7963715206595889,0.5262625558035714
8,4,688,-1.8141954444181052,0,uniform_random,0.0,parity2,0.68,0.0,0.9314923073127487,0.48529488699776785
8,4,700,-1.8071510461027915,1,uniform_random,0.0,parity2,0.68,0.0,0.9308091258876231,0.48502022879464285
8,4,663,-1.8800367248769543,2,uniform_random,0.0,parity2,0.68,0.0,0.926951965123313,0.48495265415736605
8,4,649,-1.9525615396303408,3,uniform_random,0.0,parity2,0.68,0.0,0.9264645102268837,0.48443821498325895
9,4,852,-1.2049643878247442,0,uniform_random,0.0,mux3,0.68,0.0,0.8820345243195344,0.49457877022879465
9,4,827,-1.2763040941978872,1,uniform_random,0.0,mux3,0.68,0.0,0.886347059145652,0.4945744105747768
9,4,855,-1.2141832777329484,2,uniform_random,0.0,mux3,0.68,0.0,0.8765414688756739,0.495819091796875
9,4,865,-1.2060415503730038,3,uniform_random,0.0,mux3,0.68,0.0,0.884562804183305,0.49344961983816965
10,5,573,-2.5402865744604735,0,uniform_random,0.0,parity2,0.68,0.0,0.8035467976976053,0.48770359584263395
10,5,536,-2.682072386916766,1,uniform_random,0.0,parity2,0.68,0.0,0.8080299915742604,0.48741585867745535
10,5,547,-2.6247877438253036,2,uniform_random,0.0,parity2,0.68,0.0,0.800808560133596,0.4865570068359375
10,5,538,-2.5803899750751667,3,uniform_random,0.0,parity2,0.68,0.0,0.8090279434271189,0.4868382045200893
11,5,862,-1.27319932959976,0,uniform_random,0.0,mux3,0.68,0.0,0.8790928930287517,0.5031498500279018
11,5,853,-1.2232383464604468,1,uniform_random,0.0,mux3,0.68,0.0,0.8688913303140702,0.5061732700892857
11,5,845,-1.2457231477102364,2,uniform_random,0.0,mux3,0.68,0.0,0.8762741158084949,0.5030626569475446
11,5,796,-1.3314531119353241,3,uniform_random,0.0,mux3,0.68,0.0,0.8846491006274426,0.5008806501116071
12,6,299,-5.595612496643429,0,uniform_random,0.0,parity2,0.68,0.0,0.9062264723507888,0.5001765659877232
12,6,265,-5.538769968172955,1,uniform_random,0.0,parity2,0.68,0.0,0.91503499036591,0.5000392368861607
12,6,302,-5.620194305368445,2,uniform_random,0.0,parity2,0.68,0.0,0.9127659533775746,0.5000457763671875
12,6,301,-5.6327883126071585,3,uniform_random,0.0,parity2,0.68,0.0,0.9082501760388678,0.5006888253348214
13,6,865,-1.1984887579322685,0,uniform_random,0.0,mux3,0.68,0.0,0.8814813807035774,0.49332101004464285
13,6,858,-1.2001891078424305,1,uniform_random,0.0,mux3,0.68,0.0,0.8680698837502836,0.4970615931919643
13,6,859,-1.1910156371814218,2,uniform_random,0.0,mux3,0.68,0.0,0.8658927083140233,0.49637058803013395
13,6,896,-1.1224332621754463,3,uniform_random,0.0,mux3,0.68,0.0,0.8786773202440745,0.49293300083705355
